coords
"[(1.0, 0.8085808580858086), (0.7571884984025559, 0.8778877887788779), (0.5111821086261981, 0.8679867986798679), (0.34185303514376997, 0.9273927392739274), (0.2108626198083067, 1.0), (0.4696485623003195, 0.44884488448844884), (0.30990415335463256, 0.29372937293729373), (0.20766773162939298, 0.33993399339933994), (0.1597444089456869, 0.44224422442244227), (0.5207667731629393, 0.38613861386138615), (0.3194888178913738, 0.20462046204620463), (0.19488817891373802, 0.29042904290429045), (0.1597444089456869, 0.4389438943894389), (0.5782747603833865, 0.3432343234323432), (0.3769968051118211, 0.16501650165016502), (0.23961661341853036, 0.2739273927392739), (0.18849840255591055, 0.4158415841584158), (0.6357827476038339, 0.32673267326732675), (0.4472843450479233, 0.2079207920792079), (0.30990415335463256, 0.264026402640264), (0.23322683706070288, 0.36633663366336633)]"
"[(1.0, 0.8106312292358804), (0.7476340694006309, 0.8737541528239202), (0.5110410094637224, 0.867109634551495), (0.3470031545741325, 0.9302325581395349), (0.21451104100946372, 1.0), (0.47634069400630913, 0.4485049833887043), (0.3249211356466877, 0.3023255813953488), (0.22082018927444794, 0.34219269102990035), (0.1608832807570978, 0.42857142857142855), (0.526813880126183, 0.3853820598006645), (0.3312302839116719, 0.20930232558139536), (0.20189274447949526, 0.292358803986711), (0.15772870662460567, 0.43853820598006643), (0.583596214511041, 0.34219269102990035), (0.38170347003154576, 0.16611295681063123), (0.23974763406940064, 0.2724252491694352), (0.17981072555205047, 0.4119601328903654), (0.637223974763407, 0.3289036544850498), (0.4416403785488959, 0.21262458471760798), (0.305993690851735, 0.2724252491694352), (0.2302839116719243, 0.3754152823920266)]"
"[(1.0, 0.8108108108108109), (0.7616099071207431, 0.8716216216216216), (0.5201238390092879, 0.8614864864864865), (0.3560371517027864, 0.9290540540540541), (0.22910216718266255, 1.0), (0.47987616099071206, 0.44256756756756754), (0.3219814241486068, 0.30405405405405406), (0.21981424148606812, 0.34121621621621623), (0.15479876160990713, 0.4222972972972973), (0.5294117647058824, 0.38175675675675674), (0.3281733746130031, 0.20945945945945946), (0.2043343653250774, 0.2939189189189189), (0.1609907120743034, 0.4358108108108108), (0.5851393188854489, 0.34121621621621623), (0.38080495356037153, 0.16891891891891891), (0.24458204334365324, 0.27702702702702703), (0.18575851393188855, 0.4189189189189189), (0.6408668730650154, 0.3277027027027027), (0.4458204334365325, 0.2195945945945946), (0.30959752321981426, 0.28040540540540543), (0.23529411764705882, 0.38175675675675674)]"
"[(1.0, 0.8129251700680272), (0.7586206896551724, 0.8775510204081632), (0.5172413793103449, 0.8707482993197279), (0.3542319749216301, 0.9319727891156463), (0.22570532915360503, 1.0), (0.47648902821316613, 0.445578231292517), (0.32601880877742945, 0.30272108843537415), (0.219435736677116, 0.3401360544217687), (0.15673981191222572, 0.42517006802721086), (0.5266457680250783, 0.38095238095238093), (0.329153605015674, 0.20748299319727892), (0.2006269592476489, 0.2891156462585034), (0.15673981191222572, 0.4387755102040816), (0.5862068965517241, 0.3401360544217687), (0.3793103448275862, 0.17006802721088435), (0.2413793103448276, 0.2755102040816326), (0.18495297805642633, 0.41496598639455784), (0.6394984326018809, 0.3299319727891156), (0.438871473354232, 0.22448979591836735), (0.3072100313479624, 0.2857142857142857), (0.23197492163009403, 0.391156462585034)]"
"[(1.0, 0.8129251700680272), (0.7555555555555555, 0.8775510204081632), (0.5174603174603175, 0.8707482993197279), (0.3523809523809524, 0.9319727891156463), (0.2253968253968254, 1.0), (0.4857142857142857, 0.445578231292517), (0.33015873015873015, 0.30612244897959184), (0.2222222222222222, 0.3469387755102041), (0.15873015873015872, 0.43197278911564624), (0.5365079365079365, 0.3843537414965986), (0.33015873015873015, 0.20748299319727892), (0.20317460317460317, 0.29591836734693877), (0.1619047619047619, 0.445578231292517), (0.5936507936507937, 0.3435374149659864), (0.38095238095238093, 0.17006802721088435), (0.24126984126984127, 0.2789115646258503), (0.1873015873015873, 0.4217687074829932), (0.6444444444444445, 0.3333333333333333), (0.44126984126984126, 0.23129251700680273), (0.3047619047619048, 0.29591836734693877), (0.23174603174603176, 0.3979591836734694)]"
"[(1.0, 0.8116438356164384), (0.7547169811320755, 0.8801369863013698), (0.5188679245283019, 0.8732876712328768), (0.3584905660377358, 0.934931506849315), (0.22327044025157233, 1.0), (0.48742138364779874, 0.4486301369863014), (0.3333333333333333, 0.3047945205479452), (0.22327044025157233, 0.3424657534246575), (0.15723270440251572, 0.4280821917808219), (0.5377358490566038, 0.3835616438356164), (0.33647798742138363, 0.2054794520547945), (0.20125786163522014, 0.2876712328767123), (0.16037735849056603, 0.4349315068493151), (0.5911949685534591, 0.3424657534246575), (0.3836477987421384, 0.17123287671232876), (0.2389937106918239, 0.2773972602739726), (0.18238993710691823, 0.4178082191780822), (0.6383647798742138, 0.3356164383561644), (0.4371069182389937, 0.2328767123287671), (0.29874213836477986, 0.3013698630136986), (0.22327044025157233, 0.4075342465753425)]"
"[(1.0, 0.8020477815699659), (0.7570977917981072, 0.8771331058020477), (0.5205047318611987, 0.8703071672354948), (0.35962145110410093, 0.9351535836177475), (0.2302839116719243, 1.0), (0.48580441640378547, 0.44368600682593856), (0.3312302839116719, 0.3003412969283277), (0.22397476340694006, 0.3378839590443686), (0.15772870662460567, 0.4197952218430034), (0.5331230283911672, 0.378839590443686), (0.3312302839116719, 0.20477815699658702), (0.19873817034700317, 0.2832764505119454), (0.15772870662460567, 0.4300341296928328), (0.5867507886435331, 0.3378839590443686), (0.3785488958990536, 0.17064846416382254), (0.23974763406940064, 0.2764505119453925), (0.17981072555205047, 0.41638225255972694), (0.6340694006309149, 0.3310580204778157), (0.4353312302839117, 0.22866894197952217), (0.3028391167192429, 0.29692832764505117), (0.22712933753943218, 0.3993174061433447)]"
"[(1.0, 0.8135593220338984), (0.7602523659305994, 0.8813559322033898), (0.5173501577287066, 0.8711864406779661), (0.35331230283911674, 0.9355932203389831), (0.22397476340694006, 1.0), (0.4794952681388013, 0.4440677966101695), (0.3249211356466877, 0.3016949152542373), (0.21766561514195584, 0.3423728813559322), (0.15772870662460567, 0.43389830508474575), (0.5331230283911672, 0.38305084745762713), (0.3280757097791798, 0.2033898305084746), (0.19873817034700317, 0.29152542372881357), (0.15772870662460567, 0.4406779661016949), (0.5899053627760252, 0.3423728813559322), (0.38170347003154576, 0.1694915254237288), (0.23659305993690852, 0.2847457627118644), (0.1829652996845426, 0.4271186440677966), (0.6435331230283912, 0.33559322033898303), (0.4416403785488959, 0.23389830508474577), (0.3028391167192429, 0.30847457627118646), (0.2302839116719243, 0.4135593220338983)]"
"[(1.0, 0.8067796610169492), (0.759375, 0.8745762711864407), (0.521875, 0.8711864406779661), (0.3625, 0.9355932203389831), (0.234375, 1.0), (0.4875, 0.44745762711864406), (0.328125, 0.2983050847457627), (0.221875, 0.3423728813559322), (0.15625, 0.43050847457627117), (0.540625, 0.3864406779661017), (0.334375, 0.2033898305084746), (0.203125, 0.29152542372881357), (0.165625, 0.4440677966101695), (0.6, 0.34576271186440677), (0.390625, 0.1694915254237288), (0.25, 0.28135593220338984), (0.196875, 0.423728813559322), (0.65625, 0.3423728813559322), (0.459375, 0.23389830508474577), (0.325, 0.3016949152542373), (0.25, 0.4033898305084746)]"
"[(1.0, 0.8141891891891891), (0.7587301587301587, 0.8783783783783784), (0.5174603174603175, 0.8682432432432432), (0.3492063492063492, 0.9324324324324325), (0.21904761904761905, 1.0), (0.48253968253968255, 0.44932432432432434), (0.326984126984127, 0.30067567567567566), (0.21904761904761905, 0.34797297297297297), (0.15873015873015872, 0.4391891891891892), (0.5333333333333333, 0.3885135135135135), (0.326984126984127, 0.20608108108108109), (0.2, 0.2972972972972973), (0.1619047619047619, 0.44932432432432434), (0.5904761904761905, 0.34797297297297297), (0.37777777777777777, 0.16891891891891891), (0.23809523809523808, 0.28716216216216217), (0.1873015873015873, 0.43243243243243246), (0.6412698412698413, 0.34121621621621623), (0.4380952380952381, 0.23310810810810811), (0.30158730158730157, 0.30405405405405406), (0.23174603174603176, 0.41216216216216217)]"
